id,Media,Date,Title,Author,Description
144,novel,2007,Virtual Evil,Jana G. Oliver,"A Time Rover from 2057 is sent to 1888 London to find Harter Defoe, the first time traveler who is slowly going insane."
145,novel,2008,Madman's Dance,Jana G. Oliver,"Abandoned in a Victorian insane asylum, memories erased, a Time Rover from 2057 must find a way to thwart a plot from the future that will remake British history."
146,novel,2008,The Little Book,Selden Edwards,"The last heir of a Boston banking family wakes up in Vienna in the time leading up to the Second World War. He meets with his father, grandfather, Sigmund Freud, Mark Twain, Mahler and others."
147,novel,2008,Artemis Fowl: The Time Paradox,Eoin Colfer,"Sixth book in the Artemis Fowl series. After Angeline Fowl contracts spelltropy, Artemis travels back in time eight years to when he was ten years old to find a lemur that can help cure his mother. The plot twist in the end of the book creates a circular timeline that started the series."
148,novel,2008,Found,Margaret Peterson Haddix,Thirteen year olds Jonah and Chip find out that they are missing children from time and go on a journey along with Jonah's sister Katherine to uncover many secrets.
149,novel,2009,An Echo in the Bone,Diana Gabaldon,"Time-travel romance, the seventh of the Outlander series. Time travel from the 20th century to 18th century."
150,novel,2009,Ruby Red original title: Rubinrot (German),Kerstin Gier,"A story about a girl, Gwendolyn Shepherd, who can travel in time with a machine, called chronograph."
151,novel,2009,Sent,Margaret Peterson Haddix,"Jonah, Katherine, Chip and Alex are sent back to 1483 to learn that Chip is actually King Edward V and Alex is his brother Richard, Duke of York."
152,novel,2010,Expiration Date,Duane Swierczynski,Hardboiled pulp tale of an ex-journalist who discovers pills in his grandfather's medicine cabinet that transport him back in time to the 1970s.
153,novel,2010,Sabotaged,Margaret Peterson Haddix,Jonah and Katherine go on yet another mission to return a missing kid named Andrea(really Virginia Dare) to her time in the Roanoke Colony.
154,novel,2010,Blackout and All Clear,Connie Willis,Time travelers from 2048 go to the London Blitz during World War II to observe and end up being part of it. Novel published in two parts.
155,novel,2010,How to Live Safely in a Science Fictional Universe,Charles Yu,"In search of his father, a time machine mechanic adventures through time accompanied by TAMMY and his ontologically valid dog, Ed, all while documenting his travels in a manual for future travellers."
156,novel,2011,Time for Patriots,Thomas Wm. Hamilton,"A military academy and some neighbors are sent back to 1770 by a physics experiment gone awry. They get involved with Washington, Franklin, the Bey of Algiers, Mozart, and others. The novel ends a month after the first lunar landing, in 1926."
157,novel,2011,World of Warcraft: Thrall: Twilight of the Aspects,Christie Golden,"Thrall, an orc shaman, travels through time and alternative reality in order to find his inner strength."
158,novel,2011,11/22/1963,Stephen King,"A man travels through a time portal to 1958, intending to stop Lee Harvey Oswald from shooting John F. Kennedy."
159,novel,2011-2013,Fairy Tail,Hiro Mashima,Two time travellers : Lucy Heartfilia and Rogue Cheney both use a device called the Eclipse Gate from the Book of Zeref to travel back in time for different purposes.
160,novel,2012,Amber House,"Kelly Moore, Tucker Reed, Larkin Reed","A teen girl uses psychometry to alter events in the past, changing the present and future."
161,novel,2013,Captain Underpants and the Revolting Revenge of the Radioactive Robo-Boxers,Dav Pilkey,"George Beard and Harold Hutchins, two fourth graders, use a homemade time machine to travel 65 million years into the past."
162,novel,2014,Neverwas,"Kelly Moore, Tucker Reed, Larkin Reed",An unforeseen change in the past necessitates the use of psychic abilities to reset the present and future.
163,movie,921,A Connecticut Yankee in King Arthur's Court,Emmett J. Flynn,The first of several film adaptations of Mark Twain's classic.
164,movie,1933,Berkeley Square,Frank Lloyd,A contemporary man is transported back to 18th century London where he meets his ancestors and falls in love with a woman of the period.
165,movie,1949,A Connecticut Yankee in King Arthur's Court,Tay Garnett,Very loosely based on Mark Twain's story in which a mechanic (Bing Crosby) is knocked out and wakes up in the land of King Arthur.
166,movie,1957,The Undead,Roger Corman,"A woman is sent back in time via hypnosis to the Middle Ages, where she may be executed by the people of that time on suspicion of being a witch."
167,movie,1960,The Time Machine,George Pal,"Loose adaption of H. G. Wells's classic in which a time traveler enters a future where the world is broken up into two classes, the peaceful Eloi and the malevolent masters of the world, the Morlocks."
168,movie,1962,La jetée,Chris Marker,"The hero is haunted by a memory from his childhood, which turns out to be himself as an adult. (La jetée inspired the full-length feature 12 Monkeys.)"
169,movie,1964,The Time Travelers,Ib Melchior,A time travel experiment that was supposed to produce a window into different times is actually a portal.
170,movie,1965,Dr. Who and the Daleks,Gordon Flemyng,"Based on the BBC TV series. In this, the Doctor is an inventor not an alien. His TARDIS device takes the Doctor and companions to the future of an alien world."
171,movie,1966,Daleks – Invasion Earth: 2150 A.D.,Gordon Flemyng,Based on the BBC TV series. In this the Doctor is an inventor not an alien. His TARDIS device takes the Doctor and companions to a future London devastated by war.
172,movie,1967,Journey to the Center of Time,David L. Hewitt,Scientists develop a time machine and travel to the far future and the distant past. A remake of The Time Travelers.
173,movie,1968,Planet of the Apes,Franklin J. Schaffner,George Taylor (played by Charlton Heston) travels to a future Earth inhabited by intelligent talking apes.
174,movie,1970,Beneath the Planet of the Apes,Ted Post,"Another astronaut, Brent, travels to the future Earth ruled by apes. His search for Taylor leads to an underground city of nuclear mutants."
175,movie,1971,Escape from the Planet of the Apes,Don Taylor,Three apes escape Earth's destruction by salvaging and repairing the astronaut Taylor's spaceship and piloting it through a time warp back to 1973.
176,movie,1972,Slaughterhouse-Five,George Roy Hill,A man travels to various times and places from his life in addition to another planet.
177,movie,1973,Idaho Transfer,Peter Fonda,"Due to an impending disaster that threatens to destroy mankind, a time machine is built by a group of young scientists to transport themselves into the future to rebuild civilization."
178,movie,1973,Ivan Vasilievich: Back to the Future,Leonid Gaidai,"Engineer Shurik has invented a time machine in his apartment. By accident, he sends two people back into the time of Ivan IV while the real Ivan IV is sent by the same machine into Shurik's apartment."
179,movie,1978,Superman,Richard Donner,Superman circles the Earth at tremendous speeds allowing him to travel back in time to just before an earthquake created by Lex Luthor.
180,movie,1979,Time After Time,Nicholas Meyer,"Using a time machine, Jack the Ripper and H. G. Wells travel from 1893 London to 1979 San Francisco."
181,movie,1980,The Final Countdown,Don Taylor,A storm at sea transports a nuclear warship back in time from the 1980s to the 1940s.
182,movie,1980,Somewhere in Time,Jeannot Szwarc,"A young man sees an old photograph of a woman, and through hypnosis travels back in time from 1980 to 1912 to meet her. Based on Matheson's 1975 novel ""Bid Time Return"""
183,movie,1981,Time Bandits,Terry Gilliam,A young boy unwittingly joins a band of dwarves as they travel through time hunting treasure.
184,movie,1982,Timerider: The Adventure of Lyle Swann,William Dear,"The hero travels by means of ""time cannons""."
185,movie,1983,Twilight Zone: The Movie,"John Landis, Steven Spielberg, Joe Dante andGeorge Miller","Big-screen adaptations of three classic episodes from the popular 1950s and 1960s Rod Serling television series, plus a new segment featuring a bigot who is transported into the lives of past victims of racism."
186,movie,1984,The Terminator,James Cameron,A cyborg (played by Arnold Schwarzenegger) is sent back in time from 2029 to 1984 to destroy humanity by killing the future mother of its future savior.
187,movie,1984,The Philadelphia Experiment,Stewart Raffill,"In 1943, an anti-radar experiment accidentally sends two sailors forward in time to 1984. Nancy Allen and Michael Paré star in this film."
188,movie,1984,Non ci resta che piangere,Roberto Benigni andMassimo Troisi,"The school janitor Mario (Massimo Troisi) and the teacher Saverio (Roberto Benigni) have an automobile breakdown, decide to spend the night in an inn, and the next morning they awake in the Florence of the 16th century."
189,movie,1985,Back to the Future,Robert Zemeckis,"Time travel is achieved by means of a flux capacitor installed in a DeLorean DMC12 sports car. Marty McFly intervenes in his parents' first meeting, preventing them from falling in love, and placing his own existence in danger."
